Baseline;Baseline;F1;Precisão;Revocação;;;
2 Gram + Types CFS;88,20861678;89,42528736;87,0246085;;;;
2 Gram + Types CFS;87,68699655;90,28436019;85,23489933;;;;
2 Gram + Types CFS;88,61330327;89,31818182;87,91946309;;;;
2 Gram + Types CFS;88,61330327;89,31818182;87,91946309;;;;
2 Gram + Types CFS;86,87982359;85,65217391;88,14317673;;;;
2 Gram + Info Gain;88,12430633;87,44493392;88,81431767;;;;
2 Gram + Info Gain;88,01791713;88,11659193;87,91946309;;;;
2 Gram + Info Gain;87,48590755;88,18181818;86,80089485;;;;
2 Gram + Info Gain;89,23418424;88,54625551;89,93288591;;;;
2 Gram + Info Gain;86,37873754;85,52631579;87,24832215;;;;
2 Gram + Types CFS Q2;86,60869565;83;90,54545455;;;;
2 Gram + Types CFS Q2;81,46788991;82,22222222;80,72727273;;;;
2 Gram + Types CFS Q2;87,5862069;83,27868852;92,36363636;;;;
2 Gram + Types CFS Q2;85,56701031;81,10749186;90,54545455;;;;
2 Gram + Types CFS Q2;87,58389262;81,30841121;94,90909091;;;;
2 Gram + Info Gain + Q2;86,10634648;81,49350649;91,27272727;;;;
2 Gram + Info Gain + Q2;87,67605634;84,98293515;90,54545455;;;;
2 Gram + Info Gain + Q2;85,71428571;81,37254902;90,54545455;;;;
2 Gram + Info Gain + Q2;85,81436077;82,77027027;89,09090909;;;;
2 Gram + Info Gain + Q2;87,79661017;82,22222222;94,18181818;;;;
2 Gram + Types CFS Q2 (Poly V2);87,5;79,87987988;96,72727273;;;;
2 Gram + Types CFS Q2 (Poly V2);86,57718121;80,37383178;93,81818182;;;;
2 Gram + Types CFS Q2 (Poly V2);88,67313916;79,88338192;99,63636364;;;;
2 Gram + Info Gain + Q2 (Poly V2);87,8130217;81,17283951;95,63636364;79,81651376;96,36363636;;80,55
2 Gram + Info Gain + Q2 (Poly V2);87,82051282;78,51002865;99,63636364;;;;
2 Gram + Info Gain + Q2 (Poly V2);88,48080134;81,79012346;96,36363636;;;;
2 Gram + Info Gain + Q2 (Poly V2);86,71096346;79,81651376;94,90909091;;;;
2 Gram + Info Gain + Q2 (Poly V2);87,39770867;79,46428571;97,09090909;;;;
2 Gram + Types + entidades + CFS Q2;86,98630137;82,20064725;92,36363636;;;;
2 Gram + Types + entidades + CFS Q2;86,39455782;81,15015974;92,36363636;;;;
2 Gram + Types + entidades + CFS Q2;86,31578947;83,38983051;89,45454545;;;;
2 Gram + Types + entidades + CFS Q2;87,87878788;81,81818182;94,90909091;;;;
2 Gram + Types + entidades + CFS Q2;87,15277778;83,38870432;91,27272727;;;;
2 Gram + Types + entidades + Info Gain Q2;85,56338028;82,93515358;88,36363636;;;;
2 Gram + Types + entidades + Info Gain Q2;84,94623656;83,74558304;86,18181818;;;;
2 Gram + Types + entidades + Info Gain Q2;86,55172414;82,29508197;91,27272727;;;;
2 Gram + Types + entidades + Info Gain Q2;88,96672504;85,81081081;92,36363636;;;;
2 Gram + Types + entidades + Info Gain Q2;87,24137931;82,95081967;92;;;;
2 Gram + Types + entidades + Info Gain Q2 (Poly);87,14524207;80,55555556;94,90909091;;;;
2 Gram + Types + entidades + Info Gain Q2 (Poly);88,33333333;81,53846154;96,36363636;;;;
2 Gram + Types CFS Q2 (Poly V2);87,2305141;80,18292683;95,63636364;;;;
2 Gram + Types CFS Q2 (Poly V2);89,32676519;81,43712575;98,90909091;;;;
2 Gram + Types + entidades + Info Gain Q2 (Poly);87,5862069;83,27868852;92,36363636;;;;
2 Gram + Types + entidades + Info Gain Q2 (Poly);87,2305141;80,18292683;95,63636364;;;;
2 Gram + Types + entidades + Info Gain Q2 (Poly);88,51351351;82,64984227;95,27272727;;;;
2 Gram + Types + entidades + Info Gain Q2 (5 folds);85,71428571;82,27424749;89,45454545;;;;
2 Gram + Types + entidades + Info Gain Q2 (5 folds);88,3161512;83,71335505;93,45454545;;;;
2 Gram + Types + entidades + Info Gain Q2 (5 folds);87,01754386;84,06779661;90,18181818;;;;
2 Gram + Types + entidades + Info Gain Q2 (5 folds);86,86868687;80,87774295;93,81818182;;;;
2 Gram + Types + entidades + Info Gain Q2 (5 folds);88,12392427;83,66013072;93,09090909;;;;
3 Gram + 25% + Bow #;87,76223776;84,22818792;91,60583942;;;;
3 Gram + 25% + Bow #;86,15384615;81,02893891;91,97080292;;;;
3 Gram + 25% + Bow #;84,49197861;82,57839721;86,49635036;;;;
3 Gram + 25% + Bow #;83,8028169;80,95238095;86,86131387;;;;
3 Gram + 25% + Bow #;85,51483421;81,93979933;89,41605839;;;;
